Manufacturer,Device,Antibody,Sample Type,N Positive,N Negative,Sensitivity (%),Sensitivity 95% CI,Specificity (%),Specificity 95% CI,PPV at 5%,NPV at 5%,PPV at 20%,NPV at 20%,PPV at 50%,NPV at 50%
ChemBio,DPP COVID-19 IgM/IgG System,IGM,"Plasma, Serum",30,80,53.3,53.3% (36.1-69.8%),86.2,86.2% (77.0-92.1%),17.0%,97.2%,49.2%,88.1%,79.5%,64.9%
"Chemtron Biotech, Inc.",Rapid COVID-19 IgM/IgG Antibody Screen Test,IGM,"Plasma, Serum",30,80,20.0,20.0% (9.5-37.3%),100.0,100.0% (95.4-100.0%),100.0%,96.0%,100.0%,83.3%,100.0%,55.6%
"W.H.P.M, Inc.",Covisure Covid-19 IgM/IgG Rapid Test,IGM,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),95.0,95.0% (87.8-98.0%),44.7%,98.7%,79.3%,94.2%,93.9%,80.3%
Euroimmun,SARS-COV-2 ELISA (IgA),IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Biomedomics,COVID-19 IgM-IgG Rapid Test kit,IGM,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),95.0,95.0% (87.8-98.0%),47.7%,99.3%,81.2%,96.6%,94.5%,87.7%
"Shanghai Fosun Long March Medical Science Co., Ltd.",Fosun COVID-19 IgG/IgM Rapid Antibody Detection Kit,IGM,"Plasma, Serum",30,80,10.0,10.0% (3.5-25.6%),96.2,96.2% (89.5-98.7%),12.3%,95.3%,40.0%,81.1%,72.7%,51.7%
"GP Getein Biotech, Inc.",One Step Test for Novel Coronavirus (2019-nCoV) IgM/IgG antibody (Colloidal Gold),IGM,"Plasma, Serum",30,80,56.7,56.7% (39.2-72.6%),98.8,98.8% (93.3-99.8%),70.5%,97.7%,91.9%,90.1%,97.8%,69.5%
Liming Bio,Strong Step SARS-CoV-2 IgM/IgG Antibody Rapid Test,IGM,"Plasma, Serum",30,80,6.7,6.7% (1.8-21.3%),100.0,100.0% (95.4-100.0%),100.0%,95.3%,100.0%,81.1%,100.0%,51.7%
Atlas-Link (Beijing),Nova COVID-19 IgG/IgM Antibody Rapid Test,IGM,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),90.0,90.0% (81.5-94.8%),32.1%,99.4%,69.2%,97.3%,90.0%,90.0%
"SD BIOSENSOR, Inc.",STANDARD Q COVID-19 IgM/IgG Duo,IGM,"Plasma, Serum",30,80,53.3,53.3% (36.1-69.8%),100.0,100.0% (95.4-100.0%),100.0%,97.6%,100.0%,89.6%,100.0%,68.2%
"Sugentech, Inc.",Sugentech SGTi-flex COVID-19 IgM/IgG,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),90.0,90.0% (81.5-94.8%),32.9%,99.6%,70.0%,98.2%,90.3%,93.1%
TESTSEALABS,SARS-COV-2-IgG/IgM Test Cassette,IGM,"Plasma, Serum",30,80,73.3,73.3% (55.6-85.8%),98.8,98.8% (93.3-99.8%),75.5%,98.6%,93.6%,93.7%,98.3%,78.7%
Nanjing Vazyme Medical Technology Co. LTD,Vazyme 2019-nCoV IgG/IgM Detection Kit (Colloidal Gold-Based),IGM,"Plasma, Serum",30,80,66.7,66.7% (48.8-80.8%),77.5,77.5% (67.2-85.3%),13.5%,97.8%,42.6%,90.3%,74.8%,69.9%
Wondfo,SARS-CoV-2 Antibody Test (Lateral Flow Method),IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Zhuhai Livzon Diagnostic Inc.,IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronavirus (SARS-COV-2),IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),100.0,100.0% (95.4-100.0%),100.0%,99.7%,100.0%,98.4%,100.0%,93.8%
"Guangzhou Fenghua Bioengineering Co., Ltd.",SARS-COV-2 IgM/IgG Combo Rapid Test Kit,IGM,"Plasma, Serum",30,80,70.0,70.0% (52.1-83.3%),65.0,65.0% (54.1-74.5%),9.5%,97.6%,33.3%,89.7%,66.7%,68.4%
"Innovita (Tangshan) Biological Technology Co., Ltd.",One Step Rapid Test 2019-nCoV Ab Test (Colloidal Gold) IgM/IgG Whole Blood/Serum/Plasma Combo,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),98.8,98.8% (93.3-99.8%),79.7%,99.6%,94.9%,98.3%,98.7%,93.7%
Phamatech,COVID19 RAPID TEST,IGM,"Plasma, Serum",30,80,26.7,26.7% (14.2-44.4%),97.5,97.5% (91.3-99.3%),36.0%,96.2%,72.7%,84.2%,91.4%,57.1%
MEDsan GmbH,"MEDsan biological health solutions, MEDsan COVID-19 IgM/IgG Rapid Test",IGM,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),96.2,96.2% (89.5-98.7%),55.8%,99.5%,85.7%,97.5%,96.0%,90.6%
Abbexa,COVID-19 IgG/IgM Rapid Test Kit,IGM,"Plasma, Serum",30,80,53.3,53.3% (36.1-69.8%),96.2,96.2% (89.5-98.7%),42.8%,97.5%,78.0%,89.2%,93.4%,67.3%
Zhuhai Livzon Diagnostics Inc,Livzon IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronovirus (SARS-Cov-2) Lateral Flow,IGM,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),97.5,97.5% (91.3-99.3%),64.6%,99.3%,89.7%,96.7%,97.2%,88.0%
"PCL, Inc.",PCL COVID19 IgG/IgM Rapid Gold,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),98.8,98.8% (93.3-99.8%),79.7%,99.6%,94.9%,98.3%,98.7%,93.7%
RayBiotech,Novel Coronavirus (SARS-CoV-2) IgM and IgG Dual Combined Antibody Detection Kit (Colloidal Gold Method),IGM,"Plasma, Serum",30,80,60.0,60.0% (42.3-75.4%),57.5,57.5% (46.6-67.7%),6.9%,96.5%,26.1%,85.2%,58.5%,59.0%
Zhongshan Bio-Tech Co LTD,SARS-CoV-2 IgM-IgG (GICA),IGM,"Plasma, Serum",30,80,50.0,50.0% (33.2-66.8%),97.5,97.5% (91.3-99.3%),51.3%,97.4%,83.3%,88.6%,95.2%,66.1%
"Assure Tech. (Hangzhou) Co., Ltd.",FaStep Rapid Diagnostic Test Coronavirus Disease 2019/ (COVID-2019) IgG/IgM Rapid Test,IGM,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),98.8,98.8% (93.3-99.8%),80.8%,100.0%,95.2%,100.0%,98.8%,100.0%
Biocan Diagnostics Inc,biocan Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,IGM,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),97.5,97.5% (91.3-99.3%),65.5%,99.5%,90.0%,97.5%,97.3%,90.7%
"Hangzhou Laihe Biotech Co., Ltd.",Novel Coronavirus (2019-nCoV) IgM/IgG Antibody Combo Test Kit (Colloidal Gold),IGM,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),100.0,100.0% (95.4-100.0%),100.0%,99.8%,100.0%,99.2%,100.0%,96.8%
"Tianjin Beroni Biotechnology Co., Ltd.",SARS-COV-2 IgG/IgM Antibody Detection Kit,IGM,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),98.8,98.8% (93.3-99.8%),77.8%,99.1%,94.3%,96.0%,98.5%,85.6%
"H-Guard (China) Co., Ltd.",Novel Coronavirus COVID-19 IgM/IgG Test Kit (colloidal gold),IGM,"Plasma, Serum",30,80,53.3,53.3% (36.1-69.8%),96.2,96.2% (89.5-98.7%),42.8%,97.5%,78.0%,89.2%,93.4%,67.3%
Salofa Oy,Sienna COVID-19 IgG/IgM Rapid Test Cassette (whole blood/serum/plasma),IGM,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),100.0,100.0% (95.4-100.0%),100.0%,99.5%,100.0%,97.6%,100.0%,90.9%
Jiangsu Dablood Pharmaceutical Co. Ltd,COVID-19 IgM/IgG One Step Rapid Test,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),97.5,97.5% (91.3-99.3%),66.3%,99.6%,90.3%,98.3%,97.4%,93.6%
Tianjin New Bay Bioresearch C. #1,Quik Pac II COVID-19 IgG & IgM Test,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),97.5,97.5% (91.3-99.3%),66.3%,99.6%,90.3%,98.3%,97.4%,93.6%
Access Bio Inc.,CareStart COVID-19 IgM/IgG Rapid Diagnostic Test for the Detection of SARS-CoV-2 IgM/IgG Ab,IGM,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),98.8,98.8% (93.3-99.8%),79.1%,99.5%,94.7%,97.5%,98.6%,90.8%
GenBody Inc.,GenBody COVID-19 IgM/IgG,IGM,"Plasma, Serum",30,80,40.0,40.0% (24.6-57.7%),98.8,98.8% (93.3-99.8%),62.7%,96.9%,88.9%,86.8%,97.0%,62.2%
The Lab-19,COVID-19 IgM/IgG Antibodies Rapid Test,IGM,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),100.0,100.0% (95.4-100.0%),100.0%,99.8%,100.0%,99.2%,100.0%,96.8%
BTNX Inc,COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),IGM,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),97.5,97.5% (91.3-99.3%),67.8%,100.0%,90.9%,100.0%,97.6%,100.0%
Wuhan Easy Diagnosis Biomedicine Co. Ltd.,COVID-19 (SARS-CoV-2) IgM/IgG Antibody Test Kit,IGM,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),88.8,88.8% (80.0-94.0%),31.9%,100.0%,69.0%,100.0%,89.9%,100.0%
Abbott,Architect i1000 SARS-CoV-2 IgG,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Hangzhou Biotest Biotech, Co., Ltd.",Covid-19 IgG/IgM Rapid Test Cassette,IGM,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),100.0,100.0% (95.4-100.0%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
"AutoBio Diagnostics Co., LTD",Anti-SARS-CoV-2 Rapid Test,IGM,"Plasma, Serum",30,80,50.0,50.0% (33.2-66.8%),100.0,100.0% (95.4-100.0%),100.0%,97.4%,100.0%,88.9%,100.0%,66.7%
TBG Biotechnology Corp,SARS-CoV-2 IgG/IgM Rapid Test Kit,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),95.0,95.0% (87.8-98.0%),49.6%,99.6%,82.4%,98.3%,94.9%,93.4%
"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WANTAI SARS-CoV-2 Ab Rapid Test,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Arbor Vita Corporation,CoVisa™ IgG Test,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Jiangsu Well Biotech Co, Ltd.",COVID-19 IgM/IgG Rapid Test (Colloidal gold),IGM,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),95.0,95.0% (87.8-98.0%),50.4%,99.8%,82.9%,99.1%,95.1%,96.6%
"Nirmidas Biotech, Inc",COVID-19 (SARS-CoV-2) IgM/IgG Antibody Detection Kit,IGM,"Plasma, Serum",60,160,91.7,91.7% (81.9-96.4%),98.1,98.1% (94.6-99.4%),72.0%,99.6%,92.4%,97.9%,98.0%,92.2%
InBios International Inc.,SCoV-2 Detect™ IgG ELISA,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
InBios International Inc.,SCoV-2 Detect™ IgM ELISA,IGM,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),98.8,98.8% (93.3-99.8%),80.3%,99.8%,95.1%,99.2%,98.7%,96.7%
"United Biomedical, Inc.",SARS-COV-2 ELISA,IGM,"Plasma, Serum",60,160,N/A,0.0% (0.0-6.0%),N/A,0.0% (0.0-2.3%),N/A,N/A,N/A,N/A,N/A,N/A
Accudiagnostics,Covid-19 IgM/IgG Test Kit,IGM,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),87.5,87.5% (78.5-93.1%),29.6%,100.0%,66.7%,100.0%,88.9%,100.0%
Jiangsu Superbio Biomedical (Nanjing) Co Ltd,SARS-CoV-2 (COVID-19) IgM/IgG Antibody Fast Detection Kit (Colloidal Gold),IGM,"Plasma, Serum",30,80,40.0,40.0% (24.6-57.7%),98.8,98.8% (93.3-99.8%),62.7%,96.9%,88.9%,86.8%,97.0%,62.2%
"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WANTAI SARS-CoV-2 Ab ELISA,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
LumiQuick Diagnostics,Quick Profile 2019-nCoV IgG/IgM Test Card,IGM,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),93.8,93.8% (86.2-97.3%),42.2%,99.3%,77.6%,96.6%,93.3%,87.5%
Megna Health Inc.,Megna Rapid COVID-19 IgM/IgG Combo Test Kit,IGM,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),97.5,97.5% (91.3-99.3%),63.7%,99.1%,89.3%,95.9%,97.1%,85.4%
Hangzhou AllTest Biotech Co. Ltd,2019-nCoV IgG/IgM Rapid Test Cassette(Whole Blood/Serum/Plasma),IGM,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),98.8,98.8% (93.3-99.8%),77.8%,99.1%,94.3%,96.0%,98.5%,85.6%
Genobio Pharmaceutical Co. Ltd,Virusee® COVID-19 IgM/IgG Lateral Flow Assay,IGM,"Plasma, Serum",30,80,56.7,56.7% (39.2-72.6%),76.2,76.2% (65.9-84.2%),11.2%,97.1%,37.4%,87.6%,70.5%,63.8%
"Hangzhou Realy Tech Co., LTD",COVID-19 IgG/IgM Rapid Device Test,IGM,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),93.8,93.8% (86.2-97.3%),44.9%,99.8%,79.5%,99.1%,93.9%,96.6%
"Nantong Egens Biotechnology Co., Ltd.",COVID-19 IgG/IgM Rapid Test Kit,IGM,"Plasma, Serum",30,80,73.3,73.3% (55.6-85.8%),50.0,50.0% (39.3-60.7%),7.2%,97.3%,26.8%,88.2%,59.5%,65.2%
"Zeus Scientific, Inc.",SARS-CoV-2 IgG Test System,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"BioMedomics, Inc.",BioMedomics COVID-19 IgM-IgG Rapid Test,IGM,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),95.0,95.0% (87.8-98.0%),47.7%,99.3%,81.2%,96.6%,94.5%,87.7%
Abbott Rapid Diagnostics Jena GmbH,COVID-19 IgG Rapid Test Device,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Xiamen AmonMed Biotechnology Co., Ltd",COVID-19 IgM/IgG Test Kit (colloidal gold),IGM,"Plasma, Serum",30,80,70.0,70.0% (52.1-83.3%),100.0,100.0% (95.4-100.0%),100.0%,98.4%,100.0%,93.0%,100.0%,76.9%
"Guangzhou Wondfo Biotech Co., Ltd.","COVID-19 One Step, COVID-19 Test (Immunochromatography Assay)",IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Beijing Kewei Clinical Diagnostic Reagent Inc.,Genonto Rapid Test10 COVID-19 IgG/IgM Rapid Test Kit,IGM,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),91.2,91.2% (83.0-95.7%),36.0%,99.6%,72.7%,98.2%,91.4%,93.2%
Alfa Scientific Designs Inc.,Covid-19 IgG/IgM Antibody Test,IGM,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),93.8,93.8% (86.2-97.3%),45.7%,100.0%,80.0%,100.0%,94.1%,100.0%
"MOKOBIO Biotechnology R&D Center, INC.",SARS-CoV-2 IgM & IgG Quantum Dot Immunoassay,IGM,"Plasma, Serum",30,80,66.7,66.7% (48.8-80.8%),91.2,91.2% (83.0-95.7%),28.6%,98.1%,65.6%,91.6%,88.4%,73.2%
Changzhou Confucius Biotechnology Co Ltd,COVID-19 IgG/IgM Rapid Test Cassette (WB/S/P),IGM,"Plasma, Serum",30,80,13.3,13.3% (5.3-29.7%),95.0,95.0% (87.8-98.0%),12.3%,95.4%,40.0%,81.4%,72.7%,52.3%
"Predictive Laboratories, Inc.",Assurance AB COVID-19 IgM/IgG Rapid Antibody Test,IGM,"Plasma, Serum",30,80,50.0,50.0% (33.2-66.8%),100.0,100.0% (95.4-100.0%),100.0%,97.4%,100.0%,88.9%,100.0%,66.7%
"Sugentech, Inc.",SGTi-flex COVID-19 IgG,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Boditech Med Incorporated,iChroma COVID-19 Ab,IGM,"Plasma, Serum",30,80,13.3,13.3% (5.3-29.7%),98.8,98.8% (93.3-99.8%),36.0%,95.6%,72.7%,82.0%,91.4%,53.3%
"Polymedco, Inc.",Polystat SARS-CoV-2 Antibody Test,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
NanoEntek Inc,FREND™ COVID-19 IgG/IgM Duo test,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Abacus Pharma International,SARS-CoV-2 IgM/IgG AB Antibody Rapid Test (Immunochromatography),IGM,"Plasma, Serum",30,80,53.3,53.3% (36.1-69.8%),100.0,100.0% (95.4-100.0%),100.0%,97.6%,100.0%,89.6%,100.0%,68.2%
"CTK Biotech, Inc.",OnSite COVID-19 IgG/IgM Rapid Test,IGM,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),98.8,98.8% (93.3-99.8%),80.3%,99.8%,95.1%,99.2%,98.7%,96.7%
"Jiangsu Well Biotech Co., Ltd.",COVID-19 IgM/IgG Rapid Test,IGM,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),100.0,100.0% (95.4-100.0%),100.0%,99.5%,100.0%,97.6%,100.0%,90.9%
Roche Diagnostic Corporation,Elecsys Anti-SARS-CoV-2,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Fisher Diagnostics,OmniPATH COVID-19 Total Antibody ELISA Test,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Ortho-Clinical Diagnostics, Inc.",VITROS Immunodiagnostic Products Anti-SARS-CoV-2 IgG Reagent Pack,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Shenzhen JetMay Care Limited,COVID-19 IgM & IgG Test,IGM,"Plasma, Serum",30,80,53.3,53.3% (36.1-69.8%),100.0,100.0% (95.4-100.0%),100.0%,97.6%,100.0%,89.6%,100.0%,68.2%
"Accel Diagnostics, LLC",Rapid C2T Total Antibodies (IgG/IgM) Card,IGM,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
